chinese	english
運動保健學系B	Department of Sports and Health Sciences B
運動保健系	Department of Sports and Health Care
運動保健與防護系	Department of Sports Health and Protection
運動健康科學學系	Department of Sports and Health Sciences
運動健康科學系	Department of Sports and Health Sciences
運動健康科學系【外加】	Department of Sports and Health Sciences【Additional】
運動健康管理學系	Department of Sports and Health Management
運動健康管理系(健康指導組)	Department of Sports and Health Management (Health Guidance Group)
運動健康管理系(運動治療組)	Department of Sports and Health Management (Exercise Therapy Group)
運動健康與休閒學系	Department of Sports, Health and Recreation
運動健康與休閒系	Department of Sports, Health and Leisure
運動學系	Department of Kinesiology
運動產業經營學士學位學程	Bachelor's Degree in Sports Industry Management
運動科學系	Department of Exercise Science
運動科技與休閒管理學系	Department of Sports Technology and Leisure Management
運動競技學系	Department of Sports and Athletics
運動管理學系	Department of Sports Management
運動管理系	Department of Sports Management
運動與休閒學系	Department of Sport and Recreation
運動與休閒管理系	Department of Sport and Recreation Management
運動與健康促進學系	Department of Exercise and Health Promotion
運動與健康促進系	Department of Sports and Health Promotion
運動資訊傳播學系	Department of Sports Information and Communication
運動資訊與傳播學系	Department of Sports Information and Communication
運動資訊與傳播學系(傳播組)	Department of Sports Information and Communication (Communication Group)
運動資訊與傳播學系(資訊組)	Department of Sports Information and Communication (Information Group)
運動醫學系	Department of Sports Medicine
運籌管理系	Department of Operations Research and Management
運籌管理系（第一校區）	Department of Operations Management (First Campus)
運輸科學系	Department of Transportation Sciences
運輸科學系A組	Department of Transportation Science Group A
運輸科學系B組	Department of Transportation Science Group B
運輸科技與物流管理學系	Department of Transportation Technology and Logistics Management
運輸管理學系	Department of Transportation Management
運輸與物流學系	Department of Transport and Logistics
運輸與物流管理學系	Department of Transportation and Logistics Management
遠東科技大學	Far Eastern University of Science and Technology
適應體育學系A	Adaptation to Physical Education Department A
適應體育學系B	Adaptation to Physical Education Department B
都市規劃與防災學系	Department of Urban Planning and Disaster Prevention
都市規劃與防災學系(桃園)	Department of Urban Planning and Disaster Prevention (Taoyuan)
都市規劃與防災學系(桃園校區)	Department of Urban Planning and Disaster Prevention (Taoyuan Campus)
都市規劃與防災學系（桃園）	Department of Urban Planning and Disaster Prevention (Taoyuan)
都市計劃學系	Department of Urban Planning
都市計劃學系(社會組)	Department of Urban Planning (Social Section)
都市計劃學系(自然組)	Department of Urban Planning (Nature Group)
都市計劃與開發管理學系	Department of Urban Planning and Development Management
都市計劃與開發管理學系不動產投資組	Real Estate Investment Group, Department of Urban Planning and Development Management
都市計劃與開發管理學系智慧城市與都	Department of Urban Planning and Development Management Smart Cities and Metropolises
都市計畫與景觀學系	Department of Urban Planning and Landscape Studies
都市計畫與景觀學系【外加】	Department of Urban Planning and Landscape Studies【Additional】
都市計畫與空間資訊學系	Department of Urban Planning and Spatial Informatics
都市計畫與空間資訊學系乙組	Group B, Department of Urban Planning and Spatial Informatics
都市計畫與空間資訊學系甲組	Department of Urban Planning and Spatial Informatics, Group A
都市設計與永續發展學系	Department of Urban Design and Sustainability
